"figure_panel","scientific_owner_stage","owner_table","exported_by","AnimalID","Sex","CombZ","final_group","experimental_condition","n_components_present","classification_rule_id","n_control","control_reference_mean","control_reference_population_sd","susceptibility_threshold","sd_convention","in_early_window_analysis_set"
"1b","Analysis/build_later_outcome_combz.R","later_outcome_combz_animal_level.csv + combz_classification_thresholds.csv","Analysis/_supporting/build_figure1_panel_source_data.R","OR529","Female",-0.443460239139308,"SUS","SIS",6,"sus_if_combz_below_within_sex_control_mean_minus_1_population_sd",12,0.0421301601230308,0.264521004145974,-0.222390844022943,"population SD (n divisor), matching Excel STDEVPA",TRUE
"1b","Analysis/build_later_outcome_combz.R","later_outcome_combz_animal_level.csv + combz_classification_thresholds.csv","Analysis/_supporting/build_figure1_panel_source_data.R","OR550","Female",-0.766986078743008,"SUS","SIS",6,"sus_if_combz_below_within_sex_control_mean_minus_1_population_sd",12,0.0421301601230308,0.264521004145974,-0.222390844022943,"population SD (n divisor), matching Excel STDEVPA",TRUE
"1b","Analysis/build_later_outcome_combz.R","later_outcome_combz_animal_level.csv + combz_classification_thresholds.csv","Analysis/_supporting/build_figure1_panel_source_data.R","OR551","Female",-0.800768371271316,"SUS","SIS",6,"sus_if_combz_below_within_sex_control_mean_minus_1_population_sd",12,0.0421301601230308,0.264521004145974,-0.222390844022943,"population SD (n divisor), matching Excel STDEVPA",TRUE
"1b","Analysis/build_later_outcome_combz.R","later_outcome_combz_animal_level.csv + combz_classification_thresholds.csv","Analysis/_supporting/build_figure1_panel_source_data.R","OR552","Female",-0.710688108166502,"SUS","SIS",6,"sus_if_combz_below_within_sex_control_mean_minus_1_population_sd",12,0.0421301601230308,0.264521004145974,-0.222390844022943,"population SD (n divisor), matching Excel STDEVPA",TRUE
"1b","Analysis/build_later_outcome_combz.R","later_outcome_combz_animal_level.csv + combz_classification_thresholds.csv","Analysis/_supporting/build_figure1_panel_source_data.R","OR554","Female",-0.228986892007607,"SUS","SIS",6,"sus_if_combz_below_within_sex_control_mean_minus_1_population_sd",12,0.0421301601230308,0.264521004145974,-0.222390844022943,"population SD (n divisor), matching Excel STDEVPA",TRUE
"1b","Analysis/build_later_outcome_combz.R","later_outcome_combz_animal_level.csv + combz_classification_thresholds.csv","Analysis/_supporting/build_figure1_panel_source_data.R","OR555","Female",-1.09667491368368,"SUS","SIS",6,"sus_if_combz_below_within_sex_control_mean_minus_1_population_sd",12,0.0421301601230308,0.264521004145974,-0.222390844022943,"population SD (n divisor), matching Excel STDEVPA",TRUE
"1b","Analysis/build_later_outcome_combz.R","later_outcome_combz_animal_level.csv + combz_classification_thresholds.csv","Analysis/_supporting/build_figure1_panel_source_data.R","OR556","Female",-0.691524181683395,"SUS","SIS",6,"sus_if_combz_below_within_sex_control_mean_minus_1_population_sd",12,0.0421301601230308,0.264521004145974,-0.222390844022943,"population SD (n divisor), matching Excel STDEVPA",TRUE
"1b","Analysis/build_later_outcome_combz.R","later_outcome_combz_animal_level.csv + combz_classification_thresholds.csv","Analysis/_supporting/build_figure1_panel_source_data.R","OQ760","Male",-0.240524851970429,"CON","CON",6,"sus_if_combz_below_within_sex_control_mean_minus_1_population_sd",12,0.0110339446152672,0.447675642785046,-0.436641698169779,"population SD (n divisor), matching Excel STDEVPA",TRUE
"1b","Analysis/build_later_outcome_combz.R","later_outcome_combz_animal_level.csv + combz_classification_thresholds.csv","Analysis/_supporting/build_figure1_panel_source_data.R","OQ761","Male",-0.489151228020343,"CON","CON",6,"sus_if_combz_below_within_sex_control_mean_minus_1_population_sd",12,0.0110339446152672,0.447675642785046,-0.436641698169779,"population SD (n divisor), matching Excel STDEVPA",TRUE
"1b","Analysis/build_later_outcome_combz.R","later_outcome_combz_animal_level.csv + combz_classification_thresholds.csv","Analysis/_supporting/build_figure1_panel_source_data.R","OQ763","Male",-0.0833532794876353,"CON","CON",6,"sus_if_combz_below_within_sex_control_mean_minus_1_population_sd",12,0.0110339446152672,0.447675642785046,-0.436641698169779,"population SD (n divisor), matching Excel STDEVPA",TRUE
