"figure_panel","scientific_owner_stage","owner_table","exported_by","AnimalID","Sex","Group","Movement_mean","CombZ"
"1c","Analysis/09_early_prediction_model_ladder.R","primary_movement_entropyacf1_associations.csv + early_behavior_features_wide.csv","Analysis/_supporting/build_figure1_panel_source_data.R","OR531","Female","RES",2.71830985915493,-0.0658106680237952
"1c","Analysis/09_early_prediction_model_ladder.R","primary_movement_entropyacf1_associations.csv + early_behavior_features_wide.csv","Analysis/_supporting/build_figure1_panel_source_data.R","OR537","Female","CON",4.66197183098592,-0.00819613266935256
"1c","Analysis/09_early_prediction_model_ladder.R","primary_movement_entropyacf1_associations.csv + early_behavior_features_wide.csv","Analysis/_supporting/build_figure1_panel_source_data.R","OR538","Female","CON",3.375,0.290970695286984
"1c","Analysis/09_early_prediction_model_ladder.R","primary_movement_entropyacf1_associations.csv + early_behavior_features_wide.csv","Analysis/_supporting/build_figure1_panel_source_data.R","OR539","Female","CON",4.59722222222222,0.254608305062642
"1c","Analysis/09_early_prediction_model_ladder.R","primary_movement_entropyacf1_associations.csv + early_behavior_features_wide.csv","Analysis/_supporting/build_figure1_panel_source_data.R","OR540","Female","CON",3.65277777777778,0.173872076936502
"1c","Analysis/09_early_prediction_model_ladder.R","primary_movement_entropyacf1_associations.csv + early_behavior_features_wide.csv","Analysis/_supporting/build_figure1_panel_source_data.R","OR550","Female","SUS",5.26388888888889,-0.766986078743008
"1c","Analysis/09_early_prediction_model_ladder.R","primary_movement_entropyacf1_associations.csv + early_behavior_features_wide.csv","Analysis/_supporting/build_figure1_panel_source_data.R","OR551","Female","SUS",4.26388888888889,-0.800768371271316
"1c","Analysis/09_early_prediction_model_ladder.R","primary_movement_entropyacf1_associations.csv + early_behavior_features_wide.csv","Analysis/_supporting/build_figure1_panel_source_data.R","OR552","Female","SUS",4.2112676056338,-0.710688108166502
"1c","Analysis/09_early_prediction_model_ladder.R","primary_movement_entropyacf1_associations.csv + early_behavior_features_wide.csv","Analysis/_supporting/build_figure1_panel_source_data.R","OR553","Female","RES",3.54166666666667,-0.103064375500668
"1c","Analysis/09_early_prediction_model_ladder.R","primary_movement_entropyacf1_associations.csv + early_behavior_features_wide.csv","Analysis/_supporting/build_figure1_panel_source_data.R","OR554","Female","SUS",3.98611111111111,-0.228986892007607
"1c","Analysis/09_early_prediction_model_ladder.R","primary_movement_entropyacf1_associations.csv + early_behavior_features_wide.csv","Analysis/_supporting/build_figure1_panel_source_data.R","OR555","Female","SUS",4.1830985915493,-1.09667491368368
"1c","Analysis/09_early_prediction_model_ladder.R","primary_movement_entropyacf1_associations.csv + early_behavior_features_wide.csv","Analysis/_supporting/build_figure1_panel_source_data.R","OR556","Female","SUS",4.27142857142857,-0.691524181683395
"1c","Analysis/09_early_prediction_model_ladder.R","primary_movement_entropyacf1_associations.csv + early_behavior_features_wide.csv","Analysis/_supporting/build_figure1_panel_source_data.R","OR559","Female","RES",3.59722222222222,0.167080746048373
"1c","Analysis/09_early_prediction_model_ladder.R","primary_movement_entropyacf1_associations.csv + early_behavior_features_wide.csv","Analysis/_supporting/build_figure1_panel_source_data.R","OR560","Female","RES",3.43055555555556,0.453434392175096
"1c","Analysis/09_early_prediction_model_ladder.R","primary_movement_entropyacf1_associations.csv + early_behavior_features_wide.csv","Analysis/_supporting/build_figure1_panel_source_data.R","OR561","Female","RES",4.09859154929577,0.132560789791484
"1c","Analysis/09_early_prediction_model_ladder.R","primary_movement_entropyacf1_associations.csv + early_behavior_features_wide.csv","Analysis/_supporting/build_figure1_panel_source_data.R","OR562","Female","RES",3.52173913043478,0.385958413887273
"1c","Analysis/09_early_prediction_model_ladder.R","primary_movement_entropyacf1_associations.csv + early_behavior_features_wide.csv","Analysis/_supporting/build_figure1_panel_source_data.R","OR568","Female","RES",4.91549295774648,-0.180897118248452
"1c","Analysis/09_early_prediction_model_ladder.R","primary_movement_entropyacf1_associations.csv + early_behavior_features_wide.csv","Analysis/_supporting/build_figure1_panel_source_data.R","OR620","Male","SUS",3.39130434782609,-1.03462253634006
"1c","Analysis/09_early_prediction_model_ladder.R","primary_movement_entropyacf1_associations.csv + early_behavior_features_wide.csv","Analysis/_supporting/build_figure1_panel_source_data.R","OR621","Male","CON",2.69444444444444,-0.0872290946034614
"1c","Analysis/09_early_prediction_model_ladder.R","primary_movement_entropyacf1_associations.csv + early_behavior_features_wide.csv","Analysis/_supporting/build_figure1_panel_source_data.R","OR622","Male","CON",3.36619718309859,-0.17326587042767
"1c","Analysis/09_early_prediction_model_ladder.R","primary_movement_entropyacf1_associations.csv + early_behavior_features_wide.csv","Analysis/_supporting/build_figure1_panel_source_data.R","OR623","Male","CON",3.22222222222222,-0.607387675114655
"1c","Analysis/09_early_prediction_model_ladder.R","primary_movement_entropyacf1_associations.csv + early_behavior_features_wide.csv","Analysis/_supporting/build_figure1_panel_source_data.R","OR624","Male","CON",2.70833333333333,-0.11628042277671
"1c","Analysis/09_early_prediction_model_ladder.R","primary_movement_entropyacf1_associations.csv + early_behavior_features_wide.csv","Analysis/_supporting/build_figure1_panel_source_data.R","OR625","Male","SUS",3.34722222222222,-0.446270381284236
"1c","Analysis/09_early_prediction_model_ladder.R","primary_movement_entropyacf1_associations.csv + early_behavior_features_wide.csv","Analysis/_supporting/build_figure1_panel_source_data.R","OR628","Male","SUS",3.79166666666667,-0.531626239720073
"1c","Analysis/09_early_prediction_model_ladder.R","primary_movement_entropyacf1_associations.csv + early_behavior_features_wide.csv","Analysis/_supporting/build_figure1_panel_source_data.R","OR629","Male","RES",3.64285714285714,0.102289448433373
"1c","Analysis/09_early_prediction_model_ladder.R","primary_movement_entropyacf1_associations.csv + early_behavior_features_wide.csv","Analysis/_supporting/build_figure1_panel_source_data.R","OR630","Male","RES",2.875,0.198183097948441
"1c","Analysis/09_early_prediction_model_ladder.R","primary_movement_entropyacf1_associations.csv + early_behavior_features_wide.csv","Analysis/_supporting/build_figure1_panel_source_data.R","OR639","Female","CON",5.375,0.273946627305589
"1c","Analysis/09_early_prediction_model_ladder.R","primary_movement_entropyacf1_associations.csv + early_behavior_features_wide.csv","Analysis/_supporting/build_figure1_panel_source_data.R","OR643","Female","CON",3.43055555555556,0.0995468371044007
"1c","Analysis/09_early_prediction_model_ladder.R","primary_movement_entropyacf1_associations.csv + early_behavior_features_wide.csv","Analysis/_supporting/build_figure1_panel_source_data.R","OR644","Female","CON",5.18055555555556,-0.491099469575346
"1c","Analysis/09_early_prediction_model_ladder.R","primary_movement_entropyacf1_associations.csv + early_behavior_features_wide.csv","Analysis/_supporting/build_figure1_panel_source_data.R","OR645","Female","CON",4.68055555555556,-0.146862276596488
"1c","Analysis/09_early_prediction_model_ladder.R","primary_movement_entropyacf1_associations.csv + early_behavior_features_wide.csv","Analysis/_supporting/build_figure1_panel_source_data.R","OR646","Female","RES",4.875,0.0161825826219443
"1c","Analysis/09_early_prediction_model_ladder.R","primary_movement_entropyacf1_associations.csv + early_behavior_features_wide.csv","Analysis/_supporting/build_figure1_panel_source_data.R","OR647","Female","RES",2.57746478873239,0.033349472530636
