"figure_panel","scientific_owner_stage","owner_table","exported_by","permutation_id","seed","model_id","model_label","cv_scheme","performance_metric","performance_value","is_observed","n_permutations","row_role"
"1e","Analysis/09_early_prediction_model_ladder.R","early_prediction_permutation_draws.csv","Analysis/_supporting/build_figure1_panel_source_data.R",67,20260811,"movement_mean","Movement mean","leave-one-animal-out outcome permutation with full refit","cv_r2_vs_mean",-0.00175645503498378,FALSE,1000,"permutation_draw"
"1e","Analysis/09_early_prediction_model_ladder.R","early_prediction_permutation_draws.csv","Analysis/_supporting/build_figure1_panel_source_data.R",68,20260811,"movement_mean","Movement mean","leave-one-animal-out outcome permutation with full refit","cv_r2_vs_mean",-0.0284950229283898,FALSE,1000,"permutation_draw"
"1e","Analysis/09_early_prediction_model_ladder.R","early_prediction_permutation_draws.csv","Analysis/_supporting/build_figure1_panel_source_data.R",69,20260811,"movement_mean","Movement mean","leave-one-animal-out outcome permutation with full refit","cv_r2_vs_mean",-0.0281067819207645,FALSE,1000,"permutation_draw"
"1e","Analysis/09_early_prediction_model_ladder.R","early_prediction_permutation_draws.csv","Analysis/_supporting/build_figure1_panel_source_data.R",70,20260811,"movement_mean","Movement mean","leave-one-animal-out outcome permutation with full refit","cv_r2_vs_mean",-0.0395780920163393,FALSE,1000,"permutation_draw"
"1e","Analysis/09_early_prediction_model_ladder.R","early_prediction_permutation_draws.csv","Analysis/_supporting/build_figure1_panel_source_data.R",71,20260811,"movement_mean","Movement mean","leave-one-animal-out outcome permutation with full refit","cv_r2_vs_mean",0.0201998188085033,FALSE,1000,"permutation_draw"
"1e","Analysis/09_early_prediction_model_ladder.R","early_prediction_permutation_draws.csv","Analysis/_supporting/build_figure1_panel_source_data.R",72,20260811,"movement_mean","Movement mean","leave-one-animal-out outcome permutation with full refit","cv_r2_vs_mean",-0.0294079000125098,FALSE,1000,"permutation_draw"
"1e","Analysis/09_early_prediction_model_ladder.R","early_prediction_permutation_draws.csv","Analysis/_supporting/build_figure1_panel_source_data.R",73,20260811,"movement_mean","Movement mean","leave-one-animal-out outcome permutation with full refit","cv_r2_vs_mean",-0.031547875873688,FALSE,1000,"permutation_draw"
"1e","Analysis/09_early_prediction_model_ladder.R","early_prediction_permutation_draws.csv","Analysis/_supporting/build_figure1_panel_source_data.R",74,20260811,"movement_mean","Movement mean","leave-one-animal-out outcome permutation with full refit","cv_r2_vs_mean",-0.0277326957513457,FALSE,1000,"permutation_draw"
"1e","Analysis/09_early_prediction_model_ladder.R","early_prediction_permutation_draws.csv","Analysis/_supporting/build_figure1_panel_source_data.R",75,20260811,"movement_mean","Movement mean","leave-one-animal-out outcome permutation with full refit","cv_r2_vs_mean",-0.0327576317135689,FALSE,1000,"permutation_draw"
"1e","Analysis/09_early_prediction_model_ladder.R","early_prediction_permutation_draws.csv","Analysis/_supporting/build_figure1_panel_source_data.R",76,20260811,"movement_mean","Movement mean","leave-one-animal-out outcome permutation with full refit","cv_r2_vs_mean",-0.0180323134497702,FALSE,1000,"permutation_draw"
