"writer","consumer_file","dependency_kind"
"annotate_module_microenvironment","analysis/wgcna/audit_module_robustness.R","INDIRECT_READER_VIA_HELPER"
"annotate_module_microenvironment","analysis/wgcna/build_curated_overlap_programs.R","DOWNSTREAM_ANALYSIS"
"annotate_module_microenvironment","analysis/wgcna/build_module_identity_contract.R","DOWNSTREAM_ANALYSIS"
"annotate_module_microenvironment","analysis/wgcna/build_module_label_registry.R","INDIRECT_READER_VIA_HELPER"
"annotate_module_microenvironment","analysis/wgcna/build_module_spatial_networks.R","INDIRECT_READER_VIA_HELPER"
"annotate_module_microenvironment","analysis/wgcna/build_module_spatial_networks.R","INDIRECT_READER_VIA_HELPER"
"annotate_module_microenvironment","analysis/wgcna/build_module_spatial_networks.R","INDIRECT_READER_VIA_HELPER"
"annotate_module_microenvironment","analysis/wgcna/build_wgcna_modules.R","INDIRECT_READER_VIA_HELPER"
"annotate_module_microenvironment","analysis/wgcna/build_wgcna_modules.R","INDIRECT_READER_VIA_HELPER"
"annotate_module_microenvironment","analysis/wgcna/build_wgcna_modules.R","INDIRECT_READER_VIA_HELPER"
"annotate_module_microenvironment","analysis/wgcna/build_wgcna_modules.R","INDIRECT_READER_VIA_HELPER"
"annotate_module_microenvironment","analysis/wgcna/build_wgcna_modules.R","INDIRECT_READER_VIA_HELPER"
"annotate_module_microenvironment","analysis/wgcna/build_wgcna_modules.R","INDIRECT_READER_VIA_HELPER"
"annotate_module_microenvironment","analysis/wgcna/compare_module_enrichment_overlap.R","INDIRECT_READER_VIA_HELPER"
"annotate_module_microenvironment","analysis/wgcna/compare_module_enrichment_overlap.R","INDIRECT_READER_VIA_HELPER"
"annotate_module_microenvironment","analysis/wgcna/render_microglia_independence_figures.R","INDIRECT_READER_VIA_HELPER"
"annotate_module_microenvironment","analysis/wgcna/render_microglia_independence_figures.R","INDIRECT_READER_VIA_HELPER"
"annotate_module_microenvironment","analysis/wgcna/render_microglia_independence_figures.R","INDIRECT_READER_VIA_HELPER"
"annotate_module_microenvironment","analysis/wgcna/render_microglia_independence_figures.R","INDIRECT_READER_VIA_HELPER"
"annotate_module_microenvironment","analysis/wgcna/render_microglia_independence_figures.R","INDIRECT_READER_VIA_HELPER"
"annotate_module_microenvironment","analysis/wgcna/render_microglia_module_figures.R","DOWNSTREAM_ANALYSIS"
"annotate_module_microenvironment","analysis/wgcna/render_microglia_module_figures.R","DOWNSTREAM_ANALYSIS"
"annotate_module_microenvironment","analysis/wgcna/render_module_figures.R","INDIRECT_READER_VIA_HELPER"
"annotate_module_microenvironment","analysis/wgcna/render_module_figures.R","INDIRECT_READER_VIA_HELPER"
"annotate_module_microenvironment","analysis/wgcna/render_module_figures.R","INDIRECT_READER_VIA_HELPER"
"annotate_module_microenvironment","analysis/wgcna/render_module_figures.R","INDIRECT_READER_VIA_HELPER"
"annotate_module_microenvironment","analysis/wgcna/render_module_go_heatmaps.R","INDIRECT_READER_VIA_HELPER"
"annotate_module_microenvironment","analysis/wgcna/render_module_go_heatmaps.R","INDIRECT_READER_VIA_HELPER"
"annotate_module_microenvironment","analysis/wgcna/render_module_go_heatmaps.R","INDIRECT_READER_VIA_HELPER"
"annotate_module_microenvironment","analysis/wgcna/score_module_activity.R","DIRECT_READER"
"annotate_module_microenvironment","analysis/wgcna/score_module_activity.R","DIRECT_READER"
"annotate_module_microenvironment","analysis/wgcna/score_module_activity.R","DIRECT_READER"
"annotate_module_microenvironment","analysis/wgcna/score_module_activity.R","DIRECT_READER"
"annotate_module_microenvironment","analysis/wgcna/score_module_activity.R","DIRECT_READER"
"annotate_module_microenvironment","analysis/wgcna/score_module_activity.R","DIRECT_READER"
"annotate_module_microenvironment","analysis/wgcna/score_module_activity.R","DIRECT_READER"
"annotate_module_microenvironment","analysis/wgcna/score_module_activity.R","DIRECT_READER"
"annotate_module_microenvironment","analysis/wgcna/score_module_activity.R","DIRECT_READER"
"annotate_module_microenvironment","analysis/wgcna/score_module_activity.R","DIRECT_READER"
"annotate_module_microenvironment","analysis/wgcna/score_module_activity.R","DIRECT_READER"
"annotate_module_microenvironment","analysis/wgcna/score_module_activity.R","DIRECT_READER"
"annotate_module_microenvironment","analysis/wgcna/score_module_activity.R","DIRECT_READER"
"annotate_module_microenvironment","analysis/wgcna/score_module_activity.R","DIRECT_READER"
"annotate_module_microenvironment","analysis/wgcna/score_module_activity.R","DIRECT_READER"
"annotate_module_microenvironment","analysis/wgcna/summarize_microglia_roi_specificity.R","INDIRECT_READER_VIA_HELPER"
"annotate_module_microenvironment","analysis/wgcna/summarize_microglia_roi_specificity.R","INDIRECT_READER_VIA_HELPER"
"annotate_module_microenvironment","analysis/wgcna/summarize_microglia_roi_specificity.R","INDIRECT_READER_VIA_HELPER"
"annotate_module_microenvironment","analysis/wgcna/summarize_microglia_roi_specificity.R","INDIRECT_READER_VIA_HELPER"
"annotate_module_microenvironment","analysis/wgcna/summarize_microglia_roi_specificity.R","INDIRECT_READER_VIA_HELPER"
"annotate_module_microenvironment","analysis/wgcna/summarize_microglia_roi_specificity.R","INDIRECT_READER_VIA_HELPER"
"annotate_module_microenvironment","analysis/wgcna/summarize_microglia_roi_specificity.R","INDIRECT_READER_VIA_HELPER"
"annotate_module_microenvironment","analysis/wgcna/summarize_module_complex_architecture.R","INDIRECT_READER_VIA_HELPER"
"annotate_module_microenvironment","analysis/wgcna/summarize_module_complex_architecture.R","INDIRECT_READER_VIA_HELPER"
"annotate_module_microenvironment","analysis/wgcna/summarize_module_complex_architecture.R","INDIRECT_READER_VIA_HELPER"
"annotate_module_microenvironment","analysis/wgcna/summarize_module_complex_architecture.R","INDIRECT_READER_VIA_HELPER"
"annotate_module_microenvironment","analysis/wgcna/summarize_module_interpretation.R","INDIRECT_READER_VIA_HELPER"
"annotate_module_microenvironment","analysis/wgcna/summarize_module_interpretation.R","INDIRECT_READER_VIA_HELPER"
"annotate_module_microenvironment","analysis/wgcna/summarize_module_interpretation.R","INDIRECT_READER_VIA_HELPER"
"annotate_module_microenvironment","analysis/wgcna/summarize_module_interpretation.R","INDIRECT_READER_VIA_HELPER"
"annotate_module_microenvironment","analysis/wgcna/summarize_module_interpretation.R","INDIRECT_READER_VIA_HELPER"
"annotate_module_microenvironment","analysis/wgcna/summarize_module_interpretation.R","INDIRECT_READER_VIA_HELPER"
"annotate_module_microenvironment","analysis/wgcna/summarize_module_interpretation.R","INDIRECT_READER_VIA_HELPER"
"annotate_module_microenvironment","analysis/wgcna/summarize_module_interpretation.R","INDIRECT_READER_VIA_HELPER"
"annotate_module_microenvironment","analysis/wgcna/summarize_module_interpretation.R","INDIRECT_READER_VIA_HELPER"
"annotate_module_microenvironment","analysis/wgcna/summarize_module_interpretation.R","INDIRECT_READER_VIA_HELPER"
"annotate_module_microenvironment","analysis/wgcna/summarize_module_interpretation.R","INDIRECT_READER_VIA_HELPER"
"annotate_module_microenvironment","analysis/wgcna/summarize_module_interpretation.R","INDIRECT_READER_VIA_HELPER"
"annotate_module_microenvironment","analysis/wgcna/summarize_module_interpretation.R","INDIRECT_READER_VIA_HELPER"
"annotate_module_microenvironment","analysis/wgcna/summarize_module_interpretation.R","INDIRECT_READER_VIA_HELPER"
"annotate_module_microenvironment","analysis/wgcna/summarize_module_interpretation.R","INDIRECT_READER_VIA_HELPER"
"annotate_module_microenvironment","analysis/wgcna/summarize_module_interpretation.R","INDIRECT_READER_VIA_HELPER"
"annotate_module_microenvironment","analysis/wgcna/summarize_module_interpretation.R","INDIRECT_READER_VIA_HELPER"
"annotate_module_microenvironment","analysis/wgcna/summarize_module_interpretation.R","INDIRECT_READER_VIA_HELPER"
"annotate_module_microenvironment","analysis/wgcna/summarize_module_interpretation.R","INDIRECT_READER_VIA_HELPER"
"annotate_module_microenvironment","analysis/wgcna/summarize_module_interpretation.R","INDIRECT_READER_VIA_HELPER"
"annotate_module_microenvironment","analysis/wgcna/summarize_module_interpretation.R","INDIRECT_READER_VIA_HELPER"
"annotate_module_microenvironment","analysis/wgcna/summarize_module_interpretation.R","INDIRECT_READER_VIA_HELPER"
"annotate_module_microenvironment","analysis/wgcna/summarize_module_interpretation.R","INDIRECT_READER_VIA_HELPER"
"annotate_module_microenvironment","analysis/wgcna/summarize_module_interpretation.R","INDIRECT_READER_VIA_HELPER"
"annotate_module_microenvironment","analysis/wgcna/summarize_module_interpretation.R","INDIRECT_READER_VIA_HELPER"
"annotate_module_microenvironment","analysis/wgcna/summarize_module_interpretation.R","INDIRECT_READER_VIA_HELPER"
"annotate_module_microenvironment","analysis/wgcna/summarize_module_interpretation.R","INDIRECT_READER_VIA_HELPER"
"annotate_module_microenvironment","analysis/wgcna/summarize_module_interpretation.R","INDIRECT_READER_VIA_HELPER"
"annotate_module_microenvironment","analysis/wgcna/summarize_module_interpretation.R","INDIRECT_READER_VIA_HELPER"
"annotate_module_microenvironment","analysis/wgcna/summarize_module_scores.R","INDIRECT_READER_VIA_HELPER"
"annotate_module_microenvironment","analysis/wgcna/summarize_module_scores.R","INDIRECT_READER_VIA_HELPER"
"annotate_module_microenvironment","analysis/wgcna/summarize_module_scores.R","INDIRECT_READER_VIA_HELPER"
"annotate_module_microenvironment","analysis/wgcna/summarize_module_scores.R","INDIRECT_READER_VIA_HELPER"
"annotate_module_microenvironment","analysis/wgcna/summarize_module_scores.R","INDIRECT_READER_VIA_HELPER"
"annotate_module_microenvironment","analysis/wgcna/test_microglia_neuropil_independence.R","INDIRECT_READER_VIA_HELPER"
"annotate_module_microenvironment","analysis/wgcna/test_microglia_neuropil_independence.R","INDIRECT_READER_VIA_HELPER"
"annotate_module_microenvironment","analysis/wgcna/test_microglia_neuropil_independence.R","INDIRECT_READER_VIA_HELPER"
"annotate_module_microenvironment","analysis/wgcna/test_microglia_neuropil_independence.R","INDIRECT_READER_VIA_HELPER"
"annotate_module_microenvironment","analysis/wgcna/test_module_phenotypes.R","INDIRECT_READER_VIA_HELPER"
"annotate_module_microenvironment","analysis/wgcna/test_module_phenotypes.R","INDIRECT_READER_VIA_HELPER"
"annotate_module_microenvironment","audits/integration/07_gsea_wgcna_concordance_correction_audit.R","INDIRECT_READER_VIA_HELPER"
"annotate_module_microenvironment","audits/wgcna/proteomics_wgcna_downstream_audit.R","INDIRECT_READER_VIA_HELPER"
"annotate_module_microenvironment","audits/wgcna/proteomics_wgcna_downstream_audit.R","INDIRECT_READER_VIA_HELPER"
"annotate_module_microenvironment","pipeline.yml","CONFIG"
"annotate_module_microenvironment","pipeline.yml","CONFIG"
"annotate_module_microenvironment","pipeline.yml","CONFIG"
"annotate_module_microenvironment","pipeline.yml","CONFIG"
"annotate_module_microenvironment","pipeline.yml","CONFIG"
"annotate_module_microenvironment","pipeline.yml","CONFIG"
"annotate_module_microenvironment","pipeline.yml","CONFIG"
"annotate_module_microenvironment","pipeline.yml","CONFIG"
"annotate_module_microenvironment","pipeline.yml","CONFIG"
"annotate_module_microenvironment","pipeline.yml","CONFIG"
"annotate_module_microenvironment","pipeline.yml","CONFIG"
"annotate_module_microenvironment","pipeline.yml","CONFIG"
"annotate_module_microenvironment","pipeline.yml","CONFIG"
"annotate_module_microenvironment","pipeline.yml","CONFIG"
"annotate_module_microenvironment","pipeline.yml","CONFIG"
"annotate_module_microenvironment","pipeline.yml","CONFIG"
"annotate_module_microenvironment","pipeline.yml","CONFIG"
"annotate_module_microenvironment","pipeline.yml","CONFIG"
"annotate_module_microenvironment","pipeline.yml","CONFIG"
"annotate_module_microenvironment","pipeline.yml","CONFIG"
"annotate_module_microenvironment","pipeline.yml","CONFIG"
"annotate_module_microenvironment","pipeline.yml","CONFIG"
