"old_path","new_path","expected_extension","source_of_truth","disambiguated","old_sha256","new_sha256","same_hash","old_bytes","new_bytes","same_size","new_name_chars","renamed"
"pride_submission/supplementary_tables/results_tables_04_differential_expression_enrichment_microglia_microglia_signature_diagnostics.c","pride_submission/supplementary_tables/results_tables_04_differential_expression_enrichment_microglia_microglia_signature_diagnosti.csv",".csv","results/tables/04_differential_expression_enrichment/microglia_targeted_signature_enrichment/microglia/microglia_signature_diagnostics.csv",FALSE,"46624e2706bcd2849ab90c30bc434dd8dd97245bc6e5b459929cce00be588fc1","46624e2706bcd2849ab90c30bc434dd8dd97245bc6e5b459929cce00be588fc1",TRUE,1535,1535,TRUE,96,TRUE
"pride_submission/supplementary_tables/results_tables_04_differential_expression_enrichment_microglia_microglia_signature_direction_sum","pride_submission/supplementary_tables/results_tables_04_differential_expression_enrichment_microglia_microglia_signature_direction.csv",".csv","results/tables/04_differential_expression_enrichment/microglia_targeted_signature_enrichment/microglia/microglia_signature_direction_summary.csv",FALSE,"829c728112c49a37c1abc9aa35ce8f8334d4b112ca40da280fc1c2065607231e","829c728112c49a37c1abc9aa35ce8f8334d4b112ca40da280fc1c2065607231e",TRUE,1919,1919,TRUE,96,TRUE
"pride_submission/supplementary_tables/results_tables_04_differential_expression_enrichment_microglia_microglia_signature_enr__96e19466","pride_submission/supplementary_tables/results_tables_04_differential_expression_enrichment_microglia_microglia_signature__96e19466.csv",".csv","results/tables/04_differential_expression_enrichment/microglia_targeted_signature_enrichment/microglia/microglia_signature_enrichment_with_neuropil_reference.csv",FALSE,"2bb7d91187ffe58674dc69808becb8cbf914a1d1bffca7bbb0b2c31d442a3fd7","2bb7d91187ffe58674dc69808becb8cbf914a1d1bffca7bbb0b2c31d442a3fd7",TRUE,759697,759697,TRUE,96,TRUE
"pride_submission/supplementary_tables/results_tables_04_differential_expression_enrichment_microglia_microglia_signature_enr__a2bcdccd","pride_submission/supplementary_tables/results_tables_04_differential_expression_enrichment_microglia_microglia_signature__a2bcdccd.csv",".csv","results/tables/04_differential_expression_enrichment/microglia_targeted_signature_enrichment/microglia/microglia_signature_enrichment_with_contrast_class.csv",FALSE,"c5a38660d022f8e25e6b06628aed487894ea2a61cf07beddc914350176f7ce2c","c5a38660d022f8e25e6b06628aed487894ea2a61cf07beddc914350176f7ce2c",TRUE,880593,880593,TRUE,96,TRUE
"pride_submission/supplementary_tables/results_tables_04_differential_expression_enrichment_microglia_microglia_signature_enrichment.cs","pride_submission/supplementary_tables/results_tables_04_differential_expression_enrichment_microglia_microglia_signature__3d7f74b0.csv",".csv","results/tables/04_differential_expression_enrichment/microglia_targeted_signature_enrichment/microglia/microglia_signature_enrichment.csv",TRUE,"ef2122a072e308b14a3c138b895a05d231934cc493b6396bdb6334e2c95247bc","ef2122a072e308b14a3c138b895a05d231934cc493b6396bdb6334e2c95247bc",TRUE,654817,654817,TRUE,96,TRUE
"pride_submission/supplementary_tables/results_tables_04_differential_expression_enrichment_microglia_microglia_signature_enrichment_su","pride_submission/supplementary_tables/results_tables_04_differential_expression_enrichment_microglia_microglia_signature__3ec3c4fd.csv",".csv","results/tables/04_differential_expression_enrichment/microglia_targeted_signature_enrichment/microglia/microglia_signature_enrichment_summary.csv",TRUE,"e51eab6a0cb50544f14dc20df4effa71639905d7b7b1b825c21e135207991f7b","e51eab6a0cb50544f14dc20df4effa71639905d7b7b1b825c21e135207991f7b",TRUE,6284,6284,TRUE,96,TRUE
"pride_submission/supplementary_tables/results_tables_04_differential_expression_enrichment_microglia_microglia_signature_interpretatio","pride_submission/supplementary_tables/results_tables_04_differential_expression_enrichment_microglia_microglia_signature_interpret.csv",".csv","results/tables/04_differential_expression_enrichment/microglia_targeted_signature_enrichment/microglia/microglia_signature_interpretation_summary.csv",FALSE,"e3345382b7b79a7e3d5c6a67d2117f0474797a3f284848706bed16ae7892c0a8","e3345382b7b79a7e3d5c6a67d2117f0474797a3f284848706bed16ae7892c0a8",TRUE,8810,8810,TRUE,96,TRUE
"pride_submission/supplementary_tables/results_tables_04_differential_expression_enrichment_microglia_microglia_signature_leading_edge_","pride_submission/supplementary_tables/results_tables_04_differential_expression_enrichment_microglia_microglia_signature_leading_e.csv",".csv","results/tables/04_differential_expression_enrichment/microglia_targeted_signature_enrichment/microglia/microglia_signature_leading_edge_recurrence.csv",FALSE,"821a76a1c2011e72133459dd45c59a67bc660c7240e902e4189b89983526dc05","821a76a1c2011e72133459dd45c59a67bc660c7240e902e4189b89983526dc05",TRUE,3658926,3658926,TRUE,96,TRUE
"pride_submission/supplementary_tables/results_tables_04_differential_expression_enrichment_microglia_microglia_signature_regional_pool","pride_submission/supplementary_tables/results_tables_04_differential_expression_enrichment_microglia_microglia_signature_regional_.csv",".csv","results/tables/04_differential_expression_enrichment/microglia_targeted_signature_enrichment/microglia/microglia_signature_regional_pooled_summary.csv",FALSE,"f17b7292f95533421d29d9cb2b51bf73dab9424caa20f9ed9208fa69ac98961a","f17b7292f95533421d29d9cb2b51bf73dab9424caa20f9ed9208fa69ac98961a",TRUE,22007,22007,TRUE,96,TRUE
"pride_submission/supplementary_tables/results_tables_04_differential_expression_enrichment_microglia_microglia_signature_unclassified_","pride_submission/supplementary_tables/results_tables_04_differential_expression_enrichment_microglia_microglia_signature_unclassif.csv",".csv","results/tables/04_differential_expression_enrichment/microglia_targeted_signature_enrichment/microglia/microglia_signature_unclassified_technical.csv",FALSE,"5783ada3e5f3593b97c9d0955052471a874f6084e5cd0a49cd1b22b01b398082","5783ada3e5f3593b97c9d0955052471a874f6084e5cd0a49cd1b22b01b398082",TRUE,995,995,TRUE,96,TRUE
"pride_submission/supplementary_tables/results_tables_04_differential_expression_enrichment_microglia_microglia_signature_within_region","pride_submission/supplementary_tables/results_tables_04_differential_expression_enrichment_microglia_microglia_signature_within_re.csv",".csv","results/tables/04_differential_expression_enrichment/microglia_targeted_signature_enrichment/microglia/microglia_signature_within_region_condition.csv",FALSE,"c7d4afb69d3eff46d11a0437efe0691509147ed9b2b20dd673fdf4a07dcc5c1a","c7d4afb69d3eff46d11a0437efe0691509147ed9b2b20dd673fdf4a07dcc5c1a",TRUE,160337,160337,TRUE,96,TRUE
"pride_submission/supplementary_tables/results_tables_04_differential_expression_enrichment_microglia_mixed_microenvironment_signatures","pride_submission/supplementary_tables/results_tables_04_differential_expression_enrichment_microglia_mixed_microenvironment_signat.csv",".csv","results/tables/04_differential_expression_enrichment/microglia_targeted_signature_enrichment/microglia/mixed_microenvironment_signatures.csv",FALSE,"5783ada3e5f3593b97c9d0955052471a874f6084e5cd0a49cd1b22b01b398082","5783ada3e5f3593b97c9d0955052471a874f6084e5cd0a49cd1b22b01b398082",TRUE,995,995,TRUE,96,TRUE
"pride_submission/supplementary_tables/results_tables_04_differential_expression_enrichment_microglia_program_summary_integrated_interp","pride_submission/supplementary_tables/results_tables_04_differential_expression_enrichment_microglia_program_summary_integrated_in.csv",".csv","results/tables/04_differential_expression_enrichment/biological_program_summary/microglia/program_summary_integrated_interpretation.csv",FALSE,"fe07d8f660e2ebe2a254e9ef60c6ab06502581d4ecbd54da80d9dec40ba61174","fe07d8f660e2ebe2a254e9ef60c6ab06502581d4ecbd54da80d9dec40ba61174",TRUE,152231,152231,TRUE,96,TRUE
