"path","name","area","role","classification","registered_in_pipeline","declared_outputs","writes_publication_source_data","code_callers","test_references","listed_as_legacy","human_invoked_entrypoint","documented_in_docs"
"analysis/publication_source_data/build_supplementary_tables.R","build_supplementary_tables.R","publication_source_data","ANALYSIS_ENTRYPOINT","CANONICAL_ENTRYPOINT",TRUE,1,FALSE,12,3,FALSE,TRUE,TRUE
"analysis/publication_source_data/export_processed_matrices.R","export_processed_matrices.R","publication_source_data","ANALYSIS_ENTRYPOINT","CANONICAL_ENTRYPOINT",TRUE,2,FALSE,9,2,FALSE,TRUE,TRUE
"analysis/publication_source_data/RUN_EXPORT.R","RUN_EXPORT.R","publication_source_data","SUPPORT_SCRIPT","ACTIVE_SUPPORT",FALSE,0,FALSE,9,1,TRUE,TRUE,TRUE
"analysis/publication_source_data/validate_pride_submission.R","validate_pride_submission.R","publication_source_data","ANALYSIS_ENTRYPOINT","CANONICAL_ENTRYPOINT",TRUE,2,FALSE,11,2,FALSE,TRUE,TRUE
"analysis/qc/assess_dataset_quality.R","assess_dataset_quality.R","qc","ANALYSIS_ENTRYPOINT","CANONICAL_ENTRYPOINT",TRUE,2,FALSE,11,0,FALSE,TRUE,TRUE
"analysis/qc/assess_joint_compartment_quality.R","assess_joint_compartment_quality.R","qc","ANALYSIS_ENTRYPOINT","CANONICAL_ENTRYPOINT",TRUE,4,FALSE,12,1,FALSE,TRUE,TRUE
"analysis/qc/assess_marker_rank_abundance.R","assess_marker_rank_abundance.R","qc","ANALYSIS_ENTRYPOINT","CANONICAL_ENTRYPOINT",TRUE,1,FALSE,12,2,FALSE,FALSE,TRUE
"analysis/qc/assess_pca_confounding.R","assess_pca_confounding.R","qc","ANALYSIS_ENTRYPOINT","CANONICAL_ENTRYPOINT",TRUE,1,FALSE,12,0,FALSE,FALSE,TRUE
"analysis/qc/assess_replicate_consistency.R","assess_replicate_consistency.R","qc","ANALYSIS_ENTRYPOINT","CANONICAL_ENTRYPOINT",TRUE,1,FALSE,11,0,FALSE,FALSE,TRUE
"analysis/qc/assess_sample_quality.R","assess_sample_quality.R","qc","ANALYSIS_ENTRYPOINT","CANONICAL_ENTRYPOINT",TRUE,2,FALSE,12,0,FALSE,FALSE,TRUE
"analysis/qc/build_reference_marker_registry.R","build_reference_marker_registry.R","qc","ANALYSIS_ENTRYPOINT","CANONICAL_ENTRYPOINT",TRUE,2,FALSE,12,1,FALSE,TRUE,TRUE
"analysis/qc/discover_empirical_roi_markers.R","discover_empirical_roi_markers.R","qc","ANALYSIS_ENTRYPOINT","CANONICAL_ENTRYPOINT",TRUE,1,FALSE,11,2,FALSE,TRUE,TRUE
"analysis/qc/export_marker_traits.R","export_marker_traits.R","qc","ANALYSIS_ENTRYPOINT","CANONICAL_ENTRYPOINT",TRUE,1,FALSE,10,2,FALSE,TRUE,TRUE
"analysis/qc/partition_variance.R","partition_variance.R","qc","ANALYSIS_ENTRYPOINT","CANONICAL_ENTRYPOINT",TRUE,2,FALSE,12,0,FALSE,FALSE,TRUE
"analysis/qc/render_compartment_abundance_figures.R","render_compartment_abundance_figures.R","qc","SOURCE_DATA_EXPORTER","CANONICAL_ENTRYPOINT",TRUE,3,TRUE,12,0,FALSE,TRUE,TRUE
"analysis/qc/render_joint_compartment_qc_figures.R","render_joint_compartment_qc_figures.R","qc","ANALYSIS_ENTRYPOINT","CANONICAL_ENTRYPOINT",TRUE,5,FALSE,10,1,FALSE,TRUE,TRUE
"analysis/qc/summarize_marker_detectability.R","summarize_marker_detectability.R","qc","ANALYSIS_ENTRYPOINT","CANONICAL_ENTRYPOINT",TRUE,1,FALSE,11,1,FALSE,FALSE,TRUE
"analysis/qc/summarize_missingness.R","summarize_missingness.R","qc","ANALYSIS_ENTRYPOINT","CANONICAL_ENTRYPOINT",TRUE,1,FALSE,13,1,FALSE,FALSE,TRUE
"analysis/qc/summarize_qc_confounding.R","summarize_qc_confounding.R","qc","ANALYSIS_ENTRYPOINT","CANONICAL_ENTRYPOINT",TRUE,1,FALSE,11,0,FALSE,FALSE,TRUE
"R/data_contracts/animal_id_contract.R","animal_id_contract.R","R","REUSABLE_LIBRARY","ACTIVE_SUPPORT",FALSE,0,FALSE,4,1,FALSE,FALSE,TRUE
